,,insert,search,level,總copy數,平均copy數
10,1024,0.001034,0.032447,72,9559,9.33496
11,2048,0.001419,0.030549,74,18844,9.20117
12,4096,0.002733,0.037052,93,37734,9.2124
13,8192,0.007441,0.0412,93,74701,9.11877
14,16384,0.012224,0.043518,93,147907,9.02753
15,32768,0.028136,0.057279,120,294815,8.99704
16,65536,0.057601,0.071297,120,589435,8.99406
17,131072,0.136964,0.094785,120,1178280,8.98958
18,262144,0.340267,0.119393,120,2356680,8.99001
19,524288,0.741003,0.139278,128,4717660,8.99822
20,1048576,1.73445,0.163573,128,9428250,8.99148
21,2097152,3.95566,0.189429,159,18860600,8.99345
22,4194304,8.88764,0.230619,150,37697000,8.98768
23,8388608,21.2036,0.29306,142,75303900,8.97693
24,16777216,48.0021,0.318923,154,150396000,8.96429
25,33554432,107.055,0.353309,162,299535000,8.92683
26,67108864,551.644,7.18352,165,594695000,8.86164
